country_full,country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier,date_keys,value_keys,filter,orient,use_cache
Australia,aus,empd,https://api.economicsobservatory.com/aus/empd,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,M9.AUS.TOTAL.A,ABS_LABOUR_ACCT,Employed,Total jobs all industries | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1,,,,,0
Australia,aus,inac,https://api.economicsobservatory.com/aus/inac,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,M26.AUS.TOTAL.A,ABS_LABOUR_ACCT,Inactivity,Thousands | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,thousands,TIME_PERIOD,OBS_VALUE,1,,,,,0
Australia,aus,infl,https://api.economicsobservatory.com/aus/infl,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,3.10001.10.50.Q,CPI,Inflation,CPI % | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,%,TIME_PERIOD,OBS_VALUE,1,,,,,0
Australia,aus,prod,https://api.economicsobservatory.com/aus/prod,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,M5.GVA_MKT_PHW.10.AUS.Q,ANA_AGG,Productivity,$ AUD / hour | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,$ AUD / hour,TIME_PERIOD,OBS_VALUE,1,,,,,0
Bangladesh,bgd,debt,https://api.economicsobservatory.com/bgd/debt,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/debt.json,,,Debt,"Central government debt, total (% of GDP) | BBS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/debt.json,BBS,Bangladesh Bureau of Statistics,"Central government debt, total (% of GDP)",% of GDP,,,1,,,,,1
Bangladesh,bgd,empl,https://api.economicsobservatory.com/bgd/empl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/empl.json,,,Employment to population ratio,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) | BBS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/empl.json,BBS,Bangladesh Bureau of Statistics,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",%,,,1,,,,,1
Bangladesh,bgd,expo,https://api.economicsobservatory.com/bgd/expo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/expo.json,,,Exports,Exports of goods and services (current US$) | BBS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/expo.json,BBS,Bangladesh Bureau of Statistics,Exports of goods and services (current US$),current US$,,,1,,,,,1
Bangladesh,bgd,gdpa,https://api.economicsobservatory.com/bgd/gdpa,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/gdpa.json,,,GDP,GDP (constant 2015 US$) | BBS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/gdpa.json,BBS,Bangladesh Bureau of Statistics,GDP (constant 2015 US$),constant 2015 US$,,,1,,,,,1
Bangladesh,bgd,gdpp,https://api.economicsobservatory.com/bgd/gdpp,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/gdpp.json,,,GDP per capita,GDP per capita (constant 2015 US$) | BBS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/gdpp.json,BBS,Bangladesh Bureau of Statistics,GDP per capita (constant 2015 US$),constant 2015 US$,,,1,,,,,1
Bangladesh,bgd,grow,https://api.economicsobservatory.com/bgd/grow,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/grow.json,,,GDP Growth,GDP growth (annual %) | BBS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/grow.json,BBS,Bangladesh Bureau of Statistics,GDP growth (annual %),%,,,1,,,,,1
Bangladesh,bgd,impo,https://api.economicsobservatory.com/bgd/impo,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/impo.json,,,Imports,Imports of goods and services (current US$) | BBS (WB) through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/impo.json,BBS,Bangladesh Bureau of Statistics,Imports of goods and services (current US$),current US$,,,1,,,,,1
Bangladesh,bgd,infl,https://api.economicsobservatory.com/bgd/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/infl.json,,,Inflation,"Inflation, consumer prices (annual %) | BBS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/infl.json,BBS,Bangladesh Bureau of Statistics,"Inflation, consumer prices (annual %)",%,,,1,,,,,1
Bangladesh,bgd,popu,https://api.economicsobservatory.com/bgd/popu,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/popu.json,,,Population,"Population, total | BBS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/popu.json,BBS,Bangladesh Bureau of Statistics,"Population, total",total,,,1,,,,,1
Bangladesh,bgd,unem,https://api.economicsobservatory.com/bgd/unem,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/unem.json,,,Unemployment,"Unemployment, total (% of total labor force) (modeled ILO estimate) | BBS (WB) through ECO API",https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/{country['country']}/{series['ecoSeries']}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bgd/unem.json,BBS,Bangladesh Bureau of Statistics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",% of total labor force,,,1,,,,,1
Brazil,bra,gdpa,https://api.economicsobservatory.com/bra/gdp,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/gdp.json,,,GDP,GDP | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/gdp.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Brazil,bra,gdpp,https://api.economicsobservatory.com/bra/gdpp,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/gdpp.json,,,GDP per capita,GDP per capita | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/gdpp.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Brazil,bra,grow,https://api.economicsobservatory.com/bra/grow,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/grow.json,,,Growth,Growth | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/grow.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Brazil,bra,infl,https://api.economicsobservatory.com/bra/infl,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/infl.json,,,Inflation,Inflation | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/infl.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Brazil,bra,popu,https://api.economicsobservatory.com/bra/popu,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/popu.json,,,Population,Population | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/popu.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Brazil,bra,unem,https://api.economicsobservatory.com/bra/unem,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/unem.json,,,Unemployment rate,Unemployment rate | IGBE through ECO API,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/{code}.json,https://raw.githubusercontent.com/EconomicsObservatory/api/main/cached_data/bra/unem.json,IGBE,Instituto Brasileiro de Geografia e Estatística,,,date,value,1,,,,,1
Canada,can,by10,https://api.economicsobservatory.com/can/by10,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=39055,,,10-year bond yield,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=39055,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,debt,https://api.economicsobservatory.com/can/debt,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=86822802,,,Debt,Millions of $ CAD | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=86822802,STATCAN,Statistics Canada,,millions,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,empd,https://api.economicsobservatory.com/can/empd,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,2062811,14100287,Employed,Thousands | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062811,STATCAN,Statistics Canada,,thousands,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,empl,https://api.economicsobservatory.com/can/empl,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,2062817,14100287,Employment rate,% | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=2062817,STATCAN,Statistics Canada,,%,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
Canada,can,ineq,https://api.economicsobservatory.com/can/ineq,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=96439636,,,Inequality,Gini coefficient | Source: STATCAN through ECO API,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=,https://www150.statcan.gc.ca/t1/wds/rest/getDataFromVectorByReferencePeriodRange?startRefPeriod=1900-01-01&endReferencePeriod=2025-01-01&vectorIds=96439636,STATCAN,Statistics Canada,,Index,object.vectorDataPoint.refPer,object.vectorDataPoint.value,1,,,,,0
