date,values
1981-01-01,1.38
1982-01-01,1.48
1983-01-01,1.57
1984-01-01,1.64
1985-01-01,1.85
1986-01-01,1.95
1987-01-01,2.42
1988-01-01,3.11
1989-01-01,4.09
1990-01-01,4.88
1991-01-01,5.81
1992-01-01,8.91
1993-01-01,12.38
1994-01-01,17.51
1995-01-01,30.8
1996-01-01,40.74
1997-01-01,44.21
1998-01-01,48.45
1999-01-01,55.88
2000-01-01,72.13
2001-01-01,84.48
2002-01-01,117.79
2003-01-01,138.96
2004-01-01,185.68
2005-01-01,236.98
2006-01-01,311.22
2007-01-01,357.28
2008-01-01,411.78
2009-01-01,448.95
2010-01-01,206.9
2010-01-01,206.97
2010-01-01,212.15
2010-01-01,231.06
2010-01-01,857.09
2011-01-01,184.67
2011-01-01,174.84
2011-01-01,205.27
2011-01-01,168.19
2011-01-01,732.96
2012-01-01,224.74
2012-01-01,224.67
2012-01-01,213.7
2012-01-01,222.58
2012-01-01,885.69
2013-01-01,226.55
2013-01-01,218.66
2013-01-01,239.43
2013-01-01,232.76
2013-01-01,917.4
2014-01-01,212.13
2014-01-01,222.62
2014-01-01,299.68
2014-01-01,358.95
2014-01-01,1093.37
2015-01-01,200.84
2015-01-01,221.76
2015-01-01,314.12
2015-01-01,296.06
2015-01-01,1032.78
2016-01-01,200.15
2016-01-01,189.83
2016-01-01,333.36
2016-01-01,362.59
2016-01-01,1085.93
2017-01-01,200.5
2017-01-01,236.14
2017-01-01,378.34
2017-01-01,372.64
2017-01-01,1187.62
2018-01-01,244.34
2018-01-01,255.73
2018-01-01,412.98
2018-01-01,437.03
2018-01-01,1350.08
2019-01-01,261.77
2019-01-01,299.08
2019-01-01,415.41
2019-01-01,452.38
2019-01-01,1428.65
2020-01-01,322.5
2020-01-01,313.7
2020-01-01,625.26
2020-01-01,666.79
2020-01-01,1928.25
2021-01-01,493.2
2021-01-01,491.12
2021-01-01,736.83
2021-01-01,826.68
2021-01-01,2547.84
2022-01-01,584.82
2022-01-01,500.76
2022-01-01,920.7
2022-01-01,1022.69
2022-01-01,3028.98
2023-01-01,705.04
2023-01-01,651.96
