date,values
2023-09-25,7.59
2023-09-22,2.00
2023-09-21,2.00
2023-09-20,3.00
2023-09-18,24.00
2023-09-15,24.00
2023-09-13,24.00
2023-09-12,25.00
2023-09-11,23.50
2023-09-08,20.00
2023-08-30,2.00
2023-08-08,5.00
2023-08-07,4.68
2023-07-21,23.00
2023-07-20,21.00
2023-07-18,4.00
2023-07-17,1.00
2023-07-14,0.99
2023-07-07,1.25
2023-07-04,1.33
2023-06-21,11.50
2023-06-20,11.50
2023-06-15,11.86
2023-06-14,11.86
2023-06-13,11.93
2023-06-09,11.50
2023-06-08,11.50
2023-06-06,12.00
2023-06-05,11.50
2023-05-26,16.00
2023-05-25,11.50
2023-05-23,11.00
2023-05-18,11.00
2023-05-17,19.00
2023-05-15,13.01
2023-05-10,11.00
2023-05-09,11.19
2023-05-08,11.00
2023-05-05,11.00
2023-05-03,11.00
2023-05-02,11.00
2023-04-26,11.00
2023-04-05,19.00
2023-04-04,19.00
2023-03-29,19.00
2023-03-28,19.00
2023-03-09,10.50
2023-02-27,10.50
2023-02-24,10.50
2023-02-23,10.50
2023-02-20,18.00
2023-02-17,18.50
2023-02-16,16.00
2023-02-15,16.00
2023-02-14,12.00
2023-02-10,10.50
2023-02-01,10.50
2023-01-31,1050
2023-01-30,10.50
2023-01-26,10.50
2023-01-25,10.50
2023-01-24,10.50
2023-01-10,9.50
2023-01-09,10.00
2023-01-03,9.50
2022-12-30,10.00
2022-12-23,16.75
2022-12-22,9.50
2022-08-19,15.00
2022-07-14,13.00
2022-07-08,13.00
2022-06-29,14.00
2022-06-24,14.00
2022-06-16,14.00
2022-06-09,7.50
2022-06-01,6.00
2022-05-23,12.50
2022-05-20,12.50
2022-05-13,11.00
2022-05-09,5.00
2022-05-05,5.00
2022-04-29,12.50
2022-04-27,12.50
2022-04-25,10.05
2022-04-22,5.00
2022-04-20,12.50
2022-04-19,7.00
2022-02-08,5.00
2022-02-07,13.00
2022-02-04,14.49
2022-01-14,14.00
2022-01-13,14.00
2022-01-12,14.57
2022-01-11,13.00
2021-12-24,20.00
2021-11-30,18.00
2021-11-26,16.00
2021-11-25,4.83
2021-11-09,4.00
2021-11-05,12.50
2021-11-04,12.89
2021-11-03,12.50
2021-10-29,25.00
2021-10-28,15.00
2021-10-27,15.00
2021-10-13,8.00
2021-10-05,10.00
2021-10-04,7.00
2021-09-30,14.15
2021-09-28,14.13
2021-09-27,15.00
2021-09-23,16.00
2021-09-22,21.00
2021-09-21,14.33
2021-09-20,12.50
2021-09-17,17.00
2021-09-16,4.00
2021-09-02,4.00
2021-08-27,9.39
2021-08-23,17.50
2021-07-28,16.00
2021-07-15,6.00
2021-07-14,16.00
2021-07-13,17.13
2021-07-08,9.35
2021-07-07,9.82
2021-06-28,18.50
2021-06-23,18.00
2021-06-07,14.00
2021-06-02,16.98
2021-05-28,18.57
2021-05-27,16.23
2021-05-26,16.40
2021-05-25,16.50
2021-05-04,14.00
2021-03-05,18.00
2021-03-04,12.00
2021-03-03,8.00
2021-03-02,5.20
2021-03-01,5.41
2021-02-26,12.32
2021-02-25,13.00
2021-02-19,19.00
2021-02-12,6.00
2021-02-11,5.50
2021-02-10,4.50
2021-02-08,13.38
2021-02-05,20.00
2021-02-04,10.50
2021-02-03,9.00
2021-01-27,5.0000
2021-01-26,5.0000
2021-01-25,7.00
2021-01-22,2.00
2020-12-16,1.00
2020-12-15,1.50
2020-09-18,2.00
2020-09-17,2.00
2020-09-08,2.00
2020-09-07,2.00
2020-09-04,2.00
2020-08-28,5.40
2020-08-27,0.25
2020-08-26,2.50
2020-08-25,2.50
2020-08-06,9.00
2020-08-05,9.00
2020-07-31,8.26
2020-07-21,2.50
2020-07-03,18.00
2020-07-02,2.00
2020-06-10,14.00
2020-06-04,3.00
2020-06-03,3.00
2020-05-29,3.00
2020-05-27,15.00
2020-05-21,2.29
2020-05-20,2.00
2020-05-19,2.00
2020-04-09,16.00
2020-04-07,3.00
2020-04-03,3.00
2020-03-25,4.00
2020-03-24,6.00
2020-03-23,5.00
2020-03-20,5.00
2020-03-19,4.33
2020-03-17,11.00
2020-03-16,18.00
2020-03-13,9.00
2020-03-12,3.00
2020-03-11,14.63
2020-03-10,14.63
2020-03-06,12.00
2020-03-05,15.00
2020-03-04,15.46
2020-03-03,14.73
2020-03-02,12.27
2020-02-28,15.68
2020-02-26,3.00
2020-02-25,2.00
2020-02-24,3.50
2020-02-21,3.50
2020-02-19,4.00
2020-02-18,3.93
2020-02-14,3.00
2020-02-12,16.00
2020-02-11,15.00
2020-02-10,15.58
2020-02-07,5.93
2020-02-06,6.00
2020-02-05,15.00
2020-02-04,14.50
2020-02-03,15.00
2020-01-31,7.08
2020-01-30,5.00
2020-01-29,13.00
2020-01-28,12.00
2020-01-27,6.00
2020-01-24,5.00
2020-01-23,5.00
2020-01-22,3.43
2020-01-21,3.43
2020-01-20,3.95
2020-01-17,3.96
2020-01-16,3.00
2020-01-14,7.73
2020-01-10,9.47
2020-01-09,6.00
2020-01-08,2.50
2020-01-07,4.58
2020-01-06,2.18
2019-12-30,3.00
2019-12-27,3.64
2019-12-24,7.60
2019-12-18,3.00
2019-12-11,2.00
2019-12-09,2.00
2019-12-04,4.00
2019-12-03,5.17
2019-11-29,6.00
2019-10-08,3.00
2019-10-07,3.54
2019-10-04,4.09
2019-10-03,9.50
2019-10-02,11.74
2019-09-30,10.67
2019-09-27,9.74
2019-09-26,3.24
2019-09-24,3.00
2019-09-23,3.00
2019-09-18,15.00
2019-09-17,14.48
2019-09-16,21.68
2019-09-13,25.00
2019-09-11,15.50
2019-09-10,12.71
2019-09-09,9.00
2019-09-03,9.00
2019-08-02,7.00
2019-07-10,6.45
2019-07-09,3.00
2019-07-08,3.00
2019-07-05,3.75
2019-07-02,6.50
2019-07-01,10.00
2019-06-25,5.00
2019-06-21,10.00
2019-06-18,7.00
2019-06-17,9.30
2019-06-06,6.00
2019-06-03,7.00
2019-05-28,16.00
2019-05-10,6.57
2019-05-08,5.00
2019-05-02,5.00
2019-04-04,20.00
2019-04-03,14.9100
2019-04-02,17.0000
2019-04-01,4.00
2019-03-28,8.00
2019-03-08,8.0000
2019-03-06,8.0000
2019-03-04,15.0000
2019-03-01,15.0000
2019-02-26,18.0000
2019-02-14,15.0000
2019-02-07,16.0000
2019-02-05,23.0000
2019-01-31,14.0000
2019-01-30,6.0000
2019-01-29,10.0000
2019-01-28,15.0000
2019-01-25,10.0000
2019-01-17,10.0000
2018-12-24,14.0000
2018-12-21,19.7800
2018-12-18,20.0000
2018-12-11,60.0000
2018-12-07,28.0000
2018-12-06,10.0000
2018-12-03,7.0000
2018-11-28,16.1500
2018-11-21,10.0000
2018-11-19,10.0000
2018-11-16,6.0000
2018-11-15,7.0000
2018-11-14,5.0000
2018-11-13,5.0000
2018-10-24,14.0000
2018-10-23,14.4000
2018-10-22,16.0000
2018-10-19,11.0000
2018-10-18,11.0000
2018-10-17,18.0000
2018-10-10,12.00
2018-10-08,9.25
2018-10-04,22.00
2018-09-26,16.00
2018-09-24,11.00
2018-09-20,4.00
2018-09-19,3.0000
2018-09-18,13.50
2018-09-17,12.75
2018-09-14,12.00
2018-09-13,8.0000
2018-09-04,2.5000
2018-09-03,4.0000
2018-08-31,5.0000
2018-08-27,10.5000
2018-08-24,5.0000
2018-08-23,5.0000
2018-08-17,7.0000
2018-08-03,5.0000
2018-08-02,5.0000
2018-07-31,9.0000
2018-07-27,5.0000
2018-07-26,7.0000
2018-07-25,9.0000
2018-07-20,12.0000
2018-07-03,15.0000
2018-06-07,5.0000
2018-05-25,19.2500
2018-05-23,17.0000
2018-05-14,140.0000
2018-05-11,40.0000
2018-05-10,9.0000
2018-05-09,8.6700
2018-05-08,7.3300
2018-05-07,6.0000
2018-05-04,3.0000
2018-05-03,4.0000
2018-04-30,2.0000
2018-04-27,2.5000
2018-04-26,1.5000
2018-04-24,1.0000
2018-04-20,3.3900
2018-04-19,3.5000
2018-04-12,7.0000
2018-04-05,5.0000
2018-03-29,5.0000
2018-03-28,7.2500
2018-03-27,16.0000
2018-03-26,40.0000
2018-03-23,25.0000
2018-03-21,20.0000
2018-03-19,30.0000
2018-03-16,11.0000
2018-03-08,12.0000
2018-03-07,10.0000
2018-03-06,12.0000
2018-03-05,10.5000
2018-03-02,10.0000
2018-02-28,5.0000
2018-02-27,5.0000
2018-02-21,12.0000
2018-02-20,18.0000
2018-02-19,18.0000
2018-02-16,13.0000
2018-02-14,14.0000
2018-02-13,40.0000
2018-02-12,23.4400
2018-02-09,50.0000
2018-02-08,53.7500
2018-02-07,49.5000
2018-02-06,40.0000
2018-02-05,19.5000
2018-02-02,11.4400
2018-02-01,4.0000
2018-01-30,7.0000
2018-01-25,15.7500
2018-01-24,15.0000
2018-01-18,12.2200
2018-01-12,10.0000
2018-01-09,15.1200
2018-01-08,19.0200
2018-01-05,24.1000
2017-12-27,9.0000
2017-12-22,12.0000
2017-12-21,6.0000
2017-12-19,20.0000
2017-12-18,11.0000
2017-12-14,2.0000
2017-12-13,2.0000
2017-12-12,2.0000
2017-12-11,5.0000
2017-12-08,5.0000
2017-12-06,12.5000
2017-12-05,15.2000
2017-12-04,23.6400
2017-11-30,25.0000
2017-11-29,12.0000
2017-11-28,15.0000
2017-11-27,35.0000
2017-11-23,13.0000
2017-11-22,28.0000
2017-11-21,30.0000
2017-11-17,28.1300
2017-11-16,5.3800
2017-11-15,11.0000
2017-11-14,13.2500
2017-11-13,18.3100
2017-11-10,6.7500
2017-11-09,6.0000
2017-11-08,21.4400
2017-11-07,26.8800
2017-11-06,37.4000
2017-11-03,40.0000
2017-11-02,5.0000
2017-11-01,10.0000
2017-10-31,18.0000
2017-10-30,15.0000
2017-10-27,20.0000
2017-10-26,15.0000
2017-10-25,39.5000
2017-10-24,116.9200
2017-10-23,98.5600
2017-10-19,30.0000
2017-10-12,20.0000
2017-10-09,30.0000
2017-10-06,35.0000
2017-10-04,9.0000
2017-10-03,12.0000
2017-09-29,17.3300
2017-09-28,12.0500
2017-09-27,16.1500
2017-09-26,16.3300
2017-09-22,35.0000
2017-09-11,30.0000
2017-09-05,10.0000
2017-08-31,7.0000
2017-08-29,11.8500
2017-08-28,23.0400
2017-08-25,12.8600
2017-08-23,52.8600
2017-08-22,22.0000
2017-08-21,15.0000
2017-08-18,12.0000
2017-08-17,16.0000
2017-08-15,30.0000
2017-08-11,40.0000
2017-08-10,40.0000
2017-08-08,25.0000
2017-08-07,25.0000
2017-08-04,20.0000
2017-08-01,11.0000
2017-07-31,5.0000
2017-07-28,5.9900
2017-07-27,10.0000
2017-07-26,18.0000
2017-07-25,17.5000
2017-07-24,15.0000
2017-07-20,5.0000
2017-07-19,5.0000
2017-07-18,5.6000
2017-07-17,6.6000
2017-07-14,9.6000
2017-07-12,19.3100
2017-07-11,18.9600
2017-07-10,30.0000
2017-06-29,4.4300
2017-06-28,10.5000
2017-06-23,16.0000
2017-06-15,14.0000
2017-06-14,16.0000
2017-06-13,20.0000
2017-06-09,16.0000
2017-06-05,9.0000
2017-06-02,9.5000
2017-06-01,9.7300
2017-05-31,11.3300
2017-05-30,11.8800
2017-05-26,11.8800
2017-05-25,16.1300
2017-05-18,38.9400
2017-05-16,36.4000
2017-05-15,41.4500
2017-05-12,30.5600
2017-05-11,11.3600
2017-05-10,10.9100
2017-05-09,14.7500
2017-05-08,15.0000
2017-05-03,3.0000
2017-05-02,4.0000
2017-04-28,4.9000
2017-04-27,4.5000
2017-04-25,30.0000
2017-04-24,30.0000
2017-04-21,25.7000
2017-04-20,20.0000
2017-04-19,130.0000
2017-04-13,110.0000
2017-04-12,200.0000
2017-04-11,114.5500
2017-04-10,29.1100
2017-04-07,15.0000
2017-04-03,6.0000
2017-03-30,9.6200
2017-03-24,11.4000
2017-03-17,11.5500
2017-03-16,10.0000
2017-03-09,13.0000
2017-03-08,16.2400
2017-03-07,14.2900
2017-03-06,14.2900
2017-03-03,14.4900
2017-03-02,13.0000
2017-03-01,12.0000
2017-02-28,13.1400
2017-02-24,12.6100
2017-02-23,133.8400
2017-02-22,25.0000
2017-02-21,100.0000
2017-02-17,15.0000
2017-02-16,10.0000
2017-02-15,15.0000
2017-02-14,15.3800
2017-02-13,14.5500
2017-02-10,14.0000
2017-02-07,10.0000
2017-02-06,4.5000
2017-02-03,10.0000
2017-02-02,4.5000
2017-01-20,6.7900
2017-01-18,8.0000
2017-01-17,10.0000
2017-01-16,13.0400
2017-01-13,7.0000
2017-01-12,8.7800
2017-01-11,8.0100
2017-01-10,8.0100
2017-01-09,4.5000
2017-01-06,4.5000
2017-01-05,9.9000
2017-01-04,8.2700
2017-01-03,9.0500
2016-12-30,9.9000
2016-12-29,9.6700
2016-12-28,8.6500
2016-12-23,4.5000
2016-12-22,4.5000
2016-12-16,3.5000
2016-12-09,3.0000
2016-12-07,20.0000
2016-12-06,20.0000
2016-12-05,20.0000
2016-12-02,18.5500
2016-12-01,16.5300
2016-11-30,16.5300
2016-11-29,15.9700
2016-11-28,16.4500
2016-11-25,17.0600
2016-11-24,16.7300
2016-11-23,17.0900
2016-11-22,17.0600
2016-11-21,15.3400
2016-11-18,14.7200
2016-11-17,15.0200
2016-11-16,21.2000
2016-11-09,14.0000
2016-11-07,13.0000
2016-11-03,13.0000
2016-11-01,15.0000
2016-10-28,10.0000
2016-10-27,10.0000
2016-10-26,11.0000
2016-10-25,12.0000
2016-10-24,10.0000
2016-10-20,14.0000
2016-10-18,160.0000
2016-10-11,11.5000
2016-09-26,11.0000
2016-09-23,12.0000
2016-09-09,16.0000
2016-09-01,20.5000
2016-08-26,30.0000
2016-08-22,30.0000
2016-08-12,23.0000
2016-08-10,22.0000
2016-08-05,22.0000
2016-07-26,3.0000
2016-07-22,29.5200
2016-07-15,50.0000
2016-07-08,15.0000
2016-06-30,3.5000
2016-06-28,13.5000
2016-06-27,80.0000
2016-06-23,50.0000
2016-06-22,120.0000
2016-06-20,18.0000
2016-06-17,1.5000
2016-06-08,3.0000
2016-06-07,6.2500
2016-06-01,3.3300
2016-05-27,3.5000
2016-05-26,10.0000
2016-05-25,8.0000
2016-05-24,5.0000
2016-05-23,8.0000
2016-05-20,8.0000
2016-05-18,8.6700
2016-05-17,11.6000
2016-05-13,8.0000
2016-05-11,6.0000
2016-04-14,2.0000
2016-04-12,7.0000
2016-04-08,3.0000
2016-04-07,3.0000
2016-03-21,4.5000
2016-03-15,7.0000
2016-03-14,6.0000
2016-03-11,5.0000
2016-03-10,5.0000
2016-03-09,4.0000
2016-03-08,3.9100
2016-03-07,3.7800
2016-03-04,2.0000
2016-03-02,2.0000
2016-02-29,2.8200
2016-02-26,0.5000
2016-02-25,0.5000
2016-02-24,4.5000
2016-02-23,3.0000
2016-02-18,4.5000
2016-02-15,0.5000
2016-01-27,7.5000
2016-01-25,0.5000
2016-01-22,1.5000
2016-01-21,4.7500
2016-01-20,2.7500
2016-01-18,0.7500
2016-01-13,2.5000
2016-01-13,1.9500
2016-01-05,1.5000
2015-12-31,0.5000
2015-12-30,1.0000
2015-12-23,0.7500
2015-12-21,1.0000
2015-12-16,0.6500
2015-12-09,0.5800
2015-12-08,0.5000
2015-12-01,1.0000
2015-11-27,0.8800
2015-11-23,1.0000
2015-11-17,1.5000
2015-11-16,0.6100
2015-11-11,0.6300
2015-11-10,0.6000
2015-11-09,0.5000
2015-11-05,1.0000
2015-11-03,0.9100
2015-10-30,0.7300
2015-10-28,10.0000
2015-10-27,5.0000
2015-10-26,4.0000
2015-10-22,6.0000
2015-10-21,6.0500
2015-10-13,0.7500
2015-10-12,0.7500
2015-10-09,0.0000
2015-10-08,0.0000
2015-10-07,1.0000
2015-10-06,0.0000
2015-10-05,0.0000
2015-10-02,4.0000
2015-09-30,6.0000
2015-09-29,6.0000
2015-09-28,5.0000
2015-09-23,9.6700
2015-09-22,35.0000
2015-09-21,0.0000
2015-09-18,0.0000
2015-09-17,0.0000
2015-09-16,0.0000
2015-09-15,14.8500
2015-09-14,5.0000
2015-09-11,6.6700
2015-09-10,8.9400
2015-09-09,7.1900
2015-09-08,6.0000
2015-09-07,8.0000
2015-09-04,7.6700
2015-09-03,0.0000
2015-09-02,10.0000
2015-09-01,10.0000
2015-08-31,9.0000
2015-08-28,8.8800
2015-08-27,15.0000
2015-08-26,62.5000
2015-08-25,90.0000
2015-08-24,37.3100
2015-08-21,46.4300
2015-08-20,30.0000
2015-08-19,37.7600
2015-08-18,25.0000
2015-08-17,20.0000
2015-08-14,24.5000
2015-08-13,16.1800
2015-08-12,50.0000
2015-08-11,33.6400
2015-08-10,33.8900
2015-08-07,42.7100
2015-08-06,39.9500
2015-08-05,12.4500
2015-08-04,5.3200
2015-08-03,7.0000
2015-07-31,7.2800
2015-07-30,5.0000
2015-07-29,5.5000
2015-07-28,7.6000
2015-07-27,10.0000
2015-07-24,17.0800
2015-07-22,0.0000
2015-07-21,13.8600
2015-07-16,8.5900
2015-07-15,13.6900
2015-07-14,12.5000
2015-07-13,12.0000
2015-07-10,11.7500
2015-07-09,7.0000
2015-07-08,2.5000
2015-07-07,4.0000
2015-07-06,5.0000
2015-07-03,3.7600
2015-06-30,6.7500
2015-06-29,7.5900
2015-06-26,8.0000
2015-06-25,8.7800
2015-06-24,20.00000
2015-06-23,15.7800
2015-06-22,15.0000
2015-06-22,15.0000
2015-06-19,15.0000
2015-06-18,13.0000
2015-06-17,12.7500
2015-06-16,0.0000
2015-06-15,11.4800
2015-06-12,8.5000
2015-06-11,11.6300
2015-06-09,14.0000
2015-06-08,12.2800
2015-06-05,6.9900
2015-06-04,7.7200
2015-06-03,9.2900
2015-06-02,11.5000
2015-06-01,7.6100
2015-05-28,9.3200
2015-05-27,0.0000
2015-05-26,8.4200
2015-05-25,8.0000
2015-05-22,8.5600
2015-05-21,10.8700
2015-05-20,10.5600
2015-05-19,15.0000
2015-05-18,30.0000
2015-05-15,14.5000
2015-05-14,10.5000
2015-05-13,11.2500
2015-05-12,0.0000
2015-05-11,8.0000
2015-05-08,7.5000
2015-05-07,10.5000
2015-05-06,0.0000
2015-05-05,8.8300
2015-04-20,15.0000
2015-04-17,15.0000
2015-04-16,12.8400
2015-04-15,50.4400
2015-04-14,39.0000
2015-04-13,83.3300
2015-04-10,25.3300
2015-04-09,21.2500
2015-04-08,14.7000
2015-04-07,0.0000
2015-04-02,0.0000
2015-04-01,14.0000
2015-03-31,13.7100
2015-03-30,14.0000
2015-03-27,13.9400
2015-03-26,14.0000
2015-03-25,14.4700
2015-03-24,11.0000
2015-03-23,9.5700
2015-03-20,11.3600
2015-03-19,0.0000
2015-03-18,18.1800
2015-03-17,16.7100
2015-03-16,24.7100
2015-03-13,20.3600
2015-03-12,14.4200
2015-03-11,0.0000
2015-03-10,13.1100
2015-03-09,12.0000
2015-03-06,12.0000
2015-03-05,12.0000
2015-03-04,11.0000
2015-03-03,11.0000
2015-03-02,11.9200
2015-02-27,11.0000
2015-02-26,13.0000
2015-02-25,0.0000
2015-02-24,0.0000
2015-02-23,18.0000
2015-02-20,18.0000
2015-02-19,15.0000
2015-02-18,0.0000
2015-02-17,0.0000
2015-02-16,0.0000
2015-02-13,95.0000
2015-02-12,13.0000
2015-02-11,11.9200
2015-02-10,0.0000
2015-02-09,0.0000
2015-02-06,15.0000
2015-02-05,18.0000
2015-02-04,0.0000
2015-02-03,9.5000
2015-02-02,10.0000
2015-01-30,0.0000
2015-01-27,15.7500
2015-01-26,13.5600
2015-01-23,11.0000
2015-01-22,10.2100
2015-01-21,7.0000
2015-01-20,0.0000
2015-01-19,9.6200
2015-01-16,9.0000
2015-01-15,10.0000
2015-01-14,8.0000
2015-01-13,0.0000
2015-01-12,9.0000
2015-01-09,0.0000
2015-01-08,8.2000
2015-01-07,0.0000
2015-01-06,10.9400
2015-01-05,10.5800
2014-12-31,0.0000
2014-12-29,11.6700
2014-12-24,11.7300
2014-12-23,12.2500
2014-12-22,11.8100
2014-12-19,15.7500
2014-12-18,0.0000
2014-12-17,20.0000
2014-12-16,90.0000
2014-12-15,42.0000
2014-12-12,18.0000
2014-12-11,19.6300
2014-12-10,24.5000
2014-12-09,50.9300
2014-12-08,62.0000
2014-12-05,30.0000
2014-12-04,25.0000
2014-12-03,15.5000
2014-12-02,11.0000
2014-12-01,12.2500
2014-11-28,13.5000
2014-11-26,18.0000
2014-11-25,0.0000
2014-11-24,9.6900
2014-11-21,7.9600
2014-11-20,17.1100
2014-11-19,15.5200
2014-11-18,16.3900
2014-11-17,14.0000
2014-11-14,10.9200
2014-11-13,0.0000
2014-11-12,0.0000
2014-11-11,10.7100
2014-11-10,10.5000
2014-11-07,0.0000
2014-11-05,10.5000
2014-11-04,10.2500
2014-11-03,10.5000
2014-10-31,0.0000
2014-10-30,10.5000
2014-10-28,10.5000
2014-10-27,10.5000
2014-10-24,0.0000
2014-10-22,11.1700
2014-10-21,13.7500
2014-10-20,10.9400
2014-10-17,00.0000 
2014-10-16,00.0000 
2014-10-15,00.0000 
2014-10-14,00.0000 
2014-10-13,10.7500
2014-10-09,10.2500
2014-10-08,10.5000
2014-10-03,0.0000
2014-10-02,0.0000
2014-09-30,0.0000
